lpermno,gvkey,datadate,SIC4,FF12,fyear,l1_TA,l1_lnTA,l1_RD_A,l1_ROA,l1_ROE,l1_LEVERAGE,l1_DY,l1_CPNA,l1_CEOAge,l1_CEOChair,l1_CEOTenure,l1_CEOFemale,CEOPay,lnCEOPay
14055,3169,31dec2018,2836,"Healthcare, Medical Equipment, and Drugs",2018,102.42979,4.6291776,.28204709,-.35407263,.80369526,0,0,14.256811,,,,,,
18729,3170,31dec2018,2844,Chemicals and Allied Products,2018,11769.185,9.3732395,.022483433,.15967183,-33.733334,.5188545,.021073559,.1396206,64,1,11,0,8739.2842,15.983339
82542,3203,31aug2018,2891,Chemicals and Allied Products,2018,236.51456,5.4660096,.014509025,.16493024,.19918551,0,.0074866312,.2283397,,,,,,
61735,3221,31dec2018,6411,Finance,2018,24221.717,10.095005,0,.015256057,.086842678,.22868752,.010522388,.051808249,54,0,13,0,14655.561,16.50033
89525,3226,31dec2018,4841,Telephone and Television Transmission,2018,173575.05,12.064365,0,.12149838,.33107892,.34531343,.011797753,.018784536,57,1,16,0,26593.893,17.096191
25081,3231,31dec2018,6020,Finance,2018,66447.242,11.104163,0,.01038188,.093306541,.064722568,.012556157,.088935211,68,1,16,0,7732.0063,15.860879
25129,3238,31dec2018,6020,Finance,2018,23056.883,10.045719,0,.012861018,.12418772,.060760714,.015349212,.021044899,66,1,32,0,2523.1025,14.741
70519,3243,31dec2018,6199,Finance,2018,1710658.8,14.352389,0,-.0036293769,-.036845613,.27154058,.012901491,.23876351,57,0,6,0,21922.424,16.903021
30680,3246,31aug2018,3312,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,2762.2961,7.9238176,0,.010940694,.023237435,.27721873,.02541027,.10610521,65,1,7,0,7958.4341,15.889743
25452,3275,31dec2018,3661,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,53.986355,3.9887314,.062583841,-.20338458,-.24050762,0,.044943821,.44818312,,,,,,
25487,3278,31dec2018,7510,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,16432.85,9.7070379,0,.020396633,.63001746,.72433472,0,.036180552,57,0,2,0,7640.7944,15.849012
40125,3336,31mar2019,7370,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,31494.361,10.357564,0,.05161994,.12982872,.24701512,.007162041,.08467368,65,1,1,0,15647.497,16.565821
